,KWH
0,18466
1,5148
2,2218
3,10015
4,2869
5,6387
6,11821
7,22928
8,9130
9,7474
10,2750
11,11807
12,9775
13,6335
14,4031
15,13020
16,2079
17,2477
18,6877
19,12497
20,12200
21,9187
22,13984
23,4413
24,19041
25,3125
26,11688
27,2170
28,2447
29,13137
30,11009
31,6925
32,32493
33,3222
34,20250
35,19950
36,36967
37,7435
38,31973
39,23414
40,10143
41,15219
42,12634
43,4818
44,8429
45,2840
46,4369
47,22070
48,14517
49,1634
50,1572
51,12914
52,3685
53,17752
54,7151
55,20079
56,14668
57,16129
58,4468
59,42687
60,22657
61,14287
62,8490
63,3305
64,8532
65,11649
66,4381
67,3070
68,9398
69,16186
70,6618
71,4230
72,9728
73,2058
74,27067
75,11226
76,4475
77,3223
78,6842
79,2729
80,3303
81,7376
82,1525
83,20840
84,7508
85,4118
86,15542
87,26876
88,18628
89,7954
90,6727
91,2624
92,7383
93,1815
94,13292
95,5453
96,16240
97,6729
98,10354
99,4847
100,18563
101,22836
102,9660
103,4148
104,12458
105,2771
106,6719
107,8052
108,8240
109,4069
110,3164
111,1243
112,22494
113,6851
114,15929
115,10453
116,5402
117,12410
118,5852
119,5785
120,17144
121,6548
122,5983
123,7767
124,13644
125,4693
126,4010
127,1781
128,35091
129,3149
130,18212
131,4501
132,10114
133,8936
134,8604
135,23981
136,7038
137,8537
138,3658
139,24166
140,24698
141,5876
142,11579
143,4641
144,12658
145,11797
146,10928
147,4150
148,28797
149,4647
150,28058
151,5649
152,13559
153,14598
154,14943
155,7089
156,3977
157,19055
158,1790
159,13374
160,8501
161,9630
162,11481
163,7852
164,5160
165,15459
166,10802
167,3386
168,18196
169,7770
170,15351
171,13161
172,3260
173,29395
174,3437
175,31247
176,11247
177,16164
178,7060
179,10156
180,5780
181,10805
182,10013
183,11162
184,12528
185,4750
186,5203
187,18944
188,30143
189,1719
190,2163
191,9381
192,13127
193,20510
194,6994
195,5433
196,4601
197,8572
198,11196
199,1959
200,11100
201,8075
202,21857
203,3319
204,6398
205,7345
206,13648
207,11963
208,6253
209,2818
210,20742
211,3255
212,17506
213,17821
214,5606
215,11823
216,14770
217,1977
218,13008
219,6742
220,15502
221,13974
222,4787
223,18577
224,27406
225,10317
226,4950
227,14137
228,12734
229,11426
230,10611
231,18038
232,9199
233,4045
234,2501
235,12694
236,23075
237,13744
238,21156
