,NWEIGHT
0,2471.679705
1,8599.17201
2,8969.915921
3,18003.6396
4,5999.6052420000005
5,4232.486778
6,7862.341967
7,6297.0382850000005
8,12156.72151
9,3242.224473
10,8812.434127
11,15489.57401
12,7951.519208
13,7118.1163400000005
14,14249.90379
15,37518.82806
16,15622.341369999998
17,7553.728084
18,5115.108852
19,4132.534817
20,7169.306781
21,17230.62145
22,10487.257259999998
23,7495.459040000001
24,1137.558659
25,4812.840098
26,8884.939148000001
27,8324.527795999998
28,11829.91777
29,8101.628218000001
30,3912.874443
31,4993.178537
32,2711.4326760000004
33,6449.746399000001
34,5634.2423929999995
35,15141.21186
36,12153.00007
37,3512.472472
38,11960.43926
39,11407.154620000001
40,4702.477114
41,8393.980729
42,8491.418082
43,7959.391071999999
44,7960.9266609999995
45,5535.925658
46,37665.40128
47,8810.309384
48,6861.287334000001
49,10252.68924
50,5137.604411
51,5524.681087
52,10037.58554
53,7489.171687000001
54,18613.77496
55,7535.951629000001
56,7535.951629000001
57,5629.099013
58,14563.96842
59,5862.854743
60,18388.42395
61,6905.034968999999
62,11749.92951
63,9737.421453
64,6466.419354
65,7180.04917
66,10168.0738
67,5303.525492
68,5403.89631
69,15075.45286
70,16368.075369999999
71,10024.9782
72,30067.8301
73,9815.46516
74,6506.7048159999995
75,15220.058369999999
76,8260.042266
77,4646.975068
78,20603.46865
79,10207.47525
80,6583.355692
81,4739.702561
82,22756.57436
83,4124.846353
84,9419.691525
85,7951.521599
86,4357.039390999999
87,7305.677032
88,7577.542454
89,14727.34879
90,7607.148281999999
91,9663.475869
92,11849.23097
93,7401.142686
94,14918.452969999998
95,2778.258957
96,11330.027540000001
97,7553.727936
98,15636.59389
99,2767.9630850000003
100,7133.119876999999
101,2599.855987
102,2778.259019
103,15489.564840000001
104,13964.373269999998
105,7169.307206
106,7559.641712999999
107,8620.516705
108,13382.14263
109,5067.908618
110,10168.07288
111,13371.71752
112,15376.06631
113,11795.05458
114,8064.0332769999995
115,7364.81028
116,2393.016052
117,4751.971302
118,6442.276444
119,7017.62505
120,10042.743390000001
121,9560.849448
122,4311.345803
123,9355.445047
124,13918.64987
125,6014.298814
126,4310.356567
127,7188.892361
128,8236.301527
129,6256.734878
130,8284.869009999999
131,6038.373159000001
132,6297.038661
133,7727.972639
134,7131.083771
135,8955.847549
136,8064.033233
137,6737.650192
138,12873.31351
139,10147.70362
140,15560.514469999998
141,11849.23012
142,5403.89631
143,6035.845406
144,4232.486352
145,15942.39135
146,10506.97062
147,7564.8454489999995
148,7756.867717
149,15489.574690000001
150,18040.124669999997
151,8500.602657
152,15966.07035
153,7756.869213
154,10380.27952
155,4224.00382
156,18204.89002
157,11362.76019
158,18935.068030000002
159,6590.833982
160,20603.46865
161,12998.79267
162,15075.45286
163,15910.28908
164,4751.971802
165,6787.052570999999
166,13894.731130000002
167,4232.486981
168,7348.349836
169,6622.686909
170,7757.699624
171,9131.565906
172,10734.453609999999
173,6905.035602
174,9130.423445999999
175,33453.17517
176,7217.393523000001
177,3487.0932369999996
178,3286.373819
179,4197.340424
180,5128.659006
181,14615.702309999999
182,12002.85822
183,44993.57449
184,6814.2701
185,22684.31479
186,11330.02692
187,7169.306866
188,7489.170697
189,8506.674783
190,14615.70203
191,8133.280168000001
192,10576.375109999999
193,14918.453630000002
194,5744.188778
195,3975.016192
196,17116.73226
197,12606.00647
198,10631.82309
199,11336.66038
200,10096.32567
201,4875.639822
202,8572.171447
203,8854.253862
204,9129.747078
205,5862.855436
206,7074.051873
207,6612.766308
208,11330.024220000001
209,10438.120009999999
210,14076.752559999999
211,8401.694236
212,5403.162357
213,4232.486352
214,5666.7583460000005
215,3973.252889
216,7530.247275
217,8500.603176999999
218,5991.04558
219,9510.017885
220,2603.3483300000003
221,8639.693256
222,7264.468979
223,18117.10899
224,6905.036137
225,4751.971318
226,8787.326881
227,18595.220859999998
228,5746.669606
229,6589.139848
230,14709.445419999998
231,7274.579428
232,7305.364877
233,12002.03077
234,5481.641703
235,7131.083495
236,14918.45188
237,7742.861228
238,21433.43748
239,7924.054214
240,9539.45595
241,3512.473178
242,4197.341136
243,2742.5747100000003
244,8050.407636
245,10435.15508
246,4162.763332
247,14934.316509999999
248,16137.46635
249,4193.992802000001
250,2935.6826170000004
251,18522.26824
252,11849.23097
253,11231.55581
254,6277.223598
255,8955.848105
256,7326.176197
257,10878.43793
258,4702.477571
259,3715.505904
260,10207.47525
261,8218.56947
262,8122.516216
263,6120.162294
264,5897.76189
265,4877.1260520000005
266,14822.51064
267,6741.1937609999995
268,10062.810379999999
269,9345.727275
270,10669.30871
271,4132.534817
272,21237.81669
273,6297.038661
274,9918.942625
275,6765.290222
276,5629.098591
277,10166.721529999999
278,18915.30011
279,10649.17754
280,8580.69842
281,8639.693554000001
282,15254.18522
283,6983.242626
284,6171.509770000001
285,14560.28667
286,8890.674696
287,5126.838087
288,9713.216085
289,10625.14782
290,8050.405355
291,7341.317319
292,10899.67454
293,18357.9092
294,14615.700669999998
295,5629.098617000001
296,6822.4643510000005
297,6466.419927
298,10916.004990000001
299,17792.74838
300,4269.661331
301,6913.023983
302,7707.6917
303,6594.240985
304,7133.121279000001
305,7364.81028
306,7169.306207
307,6309.981611
308,9169.965719
309,10329.36694
310,12550.174990000001
311,34308.85714
312,17888.35892
313,7535.952321
314,8236.300068
315,19109.49531
316,8646.418172
317,12046.38824
318,5868.892521
319,8050.403987000001
320,8802.187656
321,5334.306629
322,6589.13962
323,11465.6202
324,8378.152426
325,14774.72254
326,7562.499034
327,14581.35055
328,7088.752248999999
329,12347.55884
330,6932.014301
331,3197.030773
332,8991.673773999999
333,7489.171135
334,6552.24286
335,3666.2384880000004
336,12661.58125
337,8885.092399
338,7169.306781
339,6267.947571
