,Variable Name,Variable Description,Response Codes,Response Labels,Electricity,Natural Gas,Propane,Fuel Oil,Kerosene
0,REGIONC,Census Region,"[1, 2, 3, 4]","['Northeast Census Region', 'Midwest Census Region', 'South Census Region', 'West Census Region']",,,,,
1,DIVISION,Census Division,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","['New England Census Division (CT, MA, ME, NH, RI, VT)', 'Middle Atlantic Census Division (NJ, NY, PA)', 'East North Central Census Division (IL, IN, MI, OH, WI)', 'West North Central Census Division (IA, KS, MN, MO, ND, NE, SD)', 'South Atlantic  Census Division (DC, DE, FL, GA, MD, NC, SC, VA, WV)', 'East South Central Census Division (AL, KY, MS, TN)', 'West South Central Census Division (AR, LA, OK, TX)', 'Mountain North Sub-Division (CO, ID, MT, UT, WY)', 'Mountain South Sub-Division (AZ, NM, NV)', 'Pacific Census Division (AK, CA, HI, OR, WA)']",,,,,
2,REPORTABLE_DOMAIN,Reportable states and groups of states,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]","['', 'Connecticut, Maine, New Hampshire, Rhode Island, Vermont', 'Massachusetts', 'New York', 'New Jersey', 'Pennsylvania', 'Illinois', 'Indiana, Ohio', 'Michigan', 'Wisconsin', 'Iowa, Minnesota, North Dakota, South Dakota', 'Kansas, Nebraska', 'Missouri', 'Virginia', 'Delaware, District of Columbia, Maryland, West Virginia', 'Georgia', 'North Carolina, South Carolina', 'Florida', 'Alabama, Kentucky, Mississippi', 'Tennessee', 'Arkansas, Louisiana, Oklahoma', 'Texas', 'Colorado', 'Idaho, Montana, Utah, Wyoming', 'Arizona', 'Nevada, New Mexico', 'California', 'Alaska, Hawaii, Oregon, Washington']",,,,,
3,TYPEHUQ,Type of housing unit,"[1, 2, 3, 4, 5]","['Mobile Home', 'Single-Family Detached', 'Single-Family Attached', 'Apartment in Building with 2 - 4 Units', 'Apartment in Building with 5+ Units']",OTH_B,SPH_A,,,
4,Climate_Region_Pub,Building America Climate Region (collapsed for public file),"[1, 2, 3, 4, 5]","['Very Cold/Cold', 'Hot-Dry/Mixed-Dry', 'Hot-Humid', 'Mixed-Humid', 'Marine']",,,,,
5,AIA_Zone,"AIA Climate Zone, based on average temperatures from 1981 - 2010","[1, 2, 3, 4, 5]","['Less than 2,000 CDD and greater than 7,000 HDD', 'Less than 2,000 CDD and 5,500 - 7,000 HDD', 'Less than 2,000 CDD and 4,000 - 5,499 HDD', 'Less than 2,000 CDD and less than 4,000 HDD', '2,000 CDD or more and less than 4,000 HDD']",SPH_A,SPH_A,,,
6,KOWNRENT,"Housing unit is owned, rented, or occupied without payment of rent","[1, 2, 3]","['Owned by someone in the household', 'Rented', 'Occupied without payment of rent']",,,,,
7,CONDCOOP,Housing unit part of condominium or cooperative,"[1, 2, -2]","['Condominium', 'Cooperative', 'Not Applicable']",,,,,
8,YEARMADERANGE,Year range when housing unit was built,"[1, 2, 3, 4, 5, 6, 7, 8]","['Before 1950', '1950 to 1959', '1960 to 1969', '1970 to 1979', '1980 to 1989', '1990 to 1999', '2000 to 2004', '2005 to 2009']",,SPH_A,SPH_A,SPH_A,
9,OCCUPYYRANGE,Year range when household moved in,"[1, 2, 3, 4, 5, 6, 7, 8]","['Before 1950', '1950 to 1959', '1960 to 1969', '1970 to 1979', '1980 to 1989', '1990 to 1999', '2000 to 2004', '2005 to 2009']",,,,,
